Fecha,Torneo,Comienzo,Finalización,Equipo,Rival,Estadio,Goles Convertidos,Goles Recibidos,Resultado,Conclusión,Apariciones,DT,Comentarios,Foto,,,,,,,,,,,,,
28/06/2025,Torneo Apertura,11:30,13:00,Ministros,Santander,Club Social Y Deportivo Pintita,2,1,2-1,G,TRUE,El Consejo,,,,,,,,,,,,,,,
12/07/2025,Torneo Apertura,11:30,13:00,Ministros,La Escuela,Club Social Y Deportivo Pintita,0,2,0-2,P,TRUE,El Consejo,,,,,,,,,,,,,,,
19/07/2025,Torneo Apertura,11:30,13:00,Ministros,Nike F.C.,Club Social Y Deportivo Pintita,2,3,2-3,P,TRUE,El Consejo,,,,,,,,,,,,,,,
09/08/2025,Torneo Apertura,11:30,13:00,Ministros,Estrella Roja,Club Social Y Deportivo Pintita,2,1,2-1,G,TRUE,El Consejo,,,,,,,,,,,,,,,
23/08/2025,Torneo Clausura,10:00,11:30,Ministros,Paz B.,Club Social Y Deportivo Pintita,0,2,0-2,P,TRUE,El Consejo,,,,,,,,,,,,,,,
06/09/2025,Torneo Clausura,10:00,11:30,Ministros,Fortaleza,Club Social Y Deportivo Pintita,3,0,3-0,G,TRUE,El Consejo,,,,,,,,,,,,,,,
13/09/2025,Torneo Clausura,10:00,11:30,Ministros,La Escuela,Club Social Y Deportivo Pintita,2,1,2-1,G,TRUE,El Consejo,,,,,,,,,,,,,,,
04/10/2025,Torneo Clausura,10:00,11:30,Ministros,El Pueblo F.C.,Club Social Y Deportivo Pintita,0,1,0-1,P,TRUE,El Consejo,,,,,,,,,,,,,,,
11/10/2025,Torneo Clausura,11:30,13:00,Ministros,El Gallego,Club Social Y Deportivo Pintita,0,1,0-1,P,TRUE,El Consejo,,,,,,,,,,,,,,,
18/10/2025,Torneo Clausura,8:00,9:30,Ministros,Trabajo y Prev,Club Social Y Deportivo Pintita,1,1,1-1,E,FALSE,El Consejo,,,,,,,,,,,,,,,
01/11/2025,Torneo Clausura,8:00,9:30,Ministros,Paz B.,Club Social Y Deportivo Pintita,4,1,4-1,G,TRUE,El Consejo,,TRUE,,,,,,,,,,,,,
15/11/2025,Amistoso,11:30,13:00,Ministros,Deportivo La Legion,Club Social Y Deportivo Pintita,7,2,7-2,G,TRUE,El Consejo,,TRUE,,,,,,,,,,,,,
29/11/2025,Torneo Clausura,10:00,11:30,Ministros,El Pueblo F.C.,Club Social Y Deportivo Pintita,0,5,0-5,P,TRUE,El Consejo,,,,,,,,,,,,,,,
06/12/2025,Torneo Clausura,9:00,10:30,Ministros,Trabajo y Prev,Club Social Y Deportivo Pintita,4,0,4-0,G,TRUE,El Consejo,,TRUE,,,,,,,,,,,,,
13/12/2025,Torneo Clausura,11:30,13:00,Ministros,La Escuela,Club Social Y Deportivo Pintita,5,2,5-2,G,TRUE,El Consejo,,TRUE,,,,,,,,,,,,,
20/12/2025,Torneo Clausura,10:00,11:30,Ministros,Fortaleza,Club Social Y Deportivo Pintita,3,3,3-3,E,TRUE,El Consejo,,,,,,,,,,,,,,,
28/02/2026,Amistoso,10:00,11:30,Ministros,Union F.C.,Club Social Y Deportivo Pintita,4,2,4-2,G,TRUE,El Consejo,,,,,,,,,,,,,,,
14/03/2026,Amistoso,10:00,11:30,Ministros,Estrella Roja,Club Social Y Deportivo Pintita,1,2,1-2,P,TRUE,El Consejo,,,,,,,,,,,,,,,
24/03/2026,Torneo Apertura,14:30,16:00,Ministros,Gladiadores,Canchas UTN,0,1,0-1,P,TRUE,El Consejo,,,,,,,,,,,,,,,
11/04/2026,Torneo Apertura,11:30,13:00,Ministros,LTC,Canchas UTN,1,0,1-0,G,TRUE,El Consejo,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
